IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JASMIN,KOBIETA,723
SAMANTHA,KOBIETA,723
ORIANA,KOBIETA,719
LAILA,KOBIETA,711
ŻANETTA,KOBIETA,710
ELISABETH,KOBIETA,709
NATASHA,KOBIETA,706
MELANIE,KOBIETA,703
KASANDRA,KOBIETA,698
KATHERINE,KOBIETA,697
LETYCJA,KOBIETA,697
LIZA,KOBIETA,694
BERNARDETA,KOBIETA,691
YAEL,KOBIETA,688
BENITA,KOBIETA,685
NELLA,KOBIETA,685
SYLVIA,KOBIETA,685
SOFIJA,KOBIETA,677
CATHERINE,KOBIETA,676
LEONTYNA,KOBIETA,675
INGEBORGA,KOBIETA,669
LAYLA,KOBIETA,669
NATALYA,KOBIETA,669
NATHALIE,KOBIETA,662
BOZHENA,KOBIETA,658
SUSANNA,KOBIETA,658
JESIKA,KOBIETA,657
KARIN,KOBIETA,657
NELL,KOBIETA,657
ORYNA,KOBIETA,653
DAGNA,KOBIETA,650
ELMIRA,KOBIETA,649
NELLI,KOBIETA,648
EUNIKA,KOBIETA,645
SAMIRA,KOBIETA,645
DOBROCHNA,KOBIETA,642
VIVIEN,KOBIETA,637
ARIANNA,KOBIETA,635
OXANA,KOBIETA,633
JESSIKA,KOBIETA,632
MATILDA,KOBIETA,621
ROZA,KOBIETA,621
BERTA,KOBIETA,620
JULIANA,KOBIETA,619
ANIA,KOBIETA,612
NIKOLINA,KOBIETA,608
CHRISTINA,KOBIETA,606
MARGARYTA,KOBIETA,602
TEREZA,KOBIETA,597
GAIA,KOBIETA,595
ANGELICA,KOBIETA,593
AGNES,KOBIETA,592
AIDA,KOBIETA,591
ALMA,KOBIETA,589
STANISLAVA,KOBIETA,587
ARIADNA,KOBIETA,584
JASMINE,KOBIETA,582
KATHARINA,KOBIETA,581
TEKLA,KOBIETA,581
LESYA,KOBIETA,579
MIROSLAVA,KOBIETA,579
MIRANDA,KOBIETA,578
YUSTYNA,KOBIETA,570
ALEVTYNA,KOBIETA,565
MARY,KOBIETA,565
CHLOE,KOBIETA,562
MARIETA,KOBIETA,558
DOMICELA,KOBIETA,556
TATYANA,KOBIETA,556
ECATERINA,KOBIETA,552
MARGARET,KOBIETA,545
NEONILA,KOBIETA,545
MARTHA,KOBIETA,542
OLIVIIA,KOBIETA,541
CHRISTINE,KOBIETA,540
CHIARA,KOBIETA,536
AMIRA,KOBIETA,533
RYMMA,KOBIETA,532
ELIANA,KOBIETA,531
MICHAL,KOBIETA,530
MARIJA,KOBIETA,528
AMY,KOBIETA,527
JULITTA,KOBIETA,527
ISABELLE,KOBIETA,526
LUCY,KOBIETA,526
NIKOLETA,KOBIETA,524
LESŁAWA,KOBIETA,522
ISABEL,KOBIETA,521
ELZA,KOBIETA,518
MIŁOSŁAWA,KOBIETA,518
NASTIA,KOBIETA,518
YEVANHELINA,KOBIETA,517
FRANCESCA,KOBIETA,514
LEYLA,KOBIETA,513
JACQUELINE,KOBIETA,508
NANA,KOBIETA,506
REHINA,KOBIETA,506
IRENE,KOBIETA,504
LUISA,KOBIETA,504
AUGUSTYNA,KOBIETA,499
RYTA,KOBIETA,493
DAIANA,KOBIETA,492
YASMIN,KOBIETA,492
STEPHANIE,KOBIETA,491
RUTH,KOBIETA,490
RACHEL,KOBIETA,489
DOBROMIŁA,KOBIETA,485
HIACYNTA,KOBIETA,484
VALERIYA,KOBIETA,483
HALSZKA,KOBIETA,482
